service_id,date,exception_type
8_3,20231206,1
7_4,20231207,1
7_5,20231208,1
5_6,20231209,1
6_7,20231210,1
7_1,20231211,1
7_2,20231212,1
8_3,20231213,1
7_4,20231214,1
7_5,20231215,1
5_6,20231216,1
6_7,20231217,1
7_1,20231218,1
7_2,20231219,1
8_3,20231220,1
7_4,20231221,1
7_5,20231222,1
5_6,20231223,1
6_7,20231224,1
6_7,20231225,1
9_2,20231226,1
9_3,20231227,1
9_4,20231228,1
9_5,20231229,1
5_6,20231230,1
6_7,20231231,1
6_7,20240101,1
9_2,20240102,1
9_3,20240103,1
9_4,20240104,1
9_5,20240105,1
5_6,20240106,1
6_7,20240107,1
7_1,20240108,1
7_2,20240109,1
8_3,20240110,1
7_4,20240111,1
7_5,20240112,1
5_6,20240113,1
6_7,20240114,1
7_1,20240115,1
7_2,20240116,1
8_3,20240117,1
7_4,20240118,1
7_5,20240119,1
5_6,20240120,1
6_7,20240121,1
7_1,20240122,1
7_2,20240123,1
8_3,20240124,1
7_4,20240125,1
7_5,20240126,1
5_6,20240127,1
6_7,20240128,1
7_1,20240129,1
7_2,20240130,1
8_3,20240131,1
7_4,20240201,1
7_5,20240202,1
5_6,20240203,1
6_7,20240204,1
7_1,20240205,1
7_2,20240206,1
8_3,20240207,1
7_4,20240208,1
7_5,20240209,1
5_6,20240210,1
6_7,20240211,1
7_1,20240212,1
7_2,20240213,1
8_3,20240214,1
7_4,20240215,1
7_5,20240216,1
5_6,20240217,1
6_7,20240218,1
9_1,20240219,1
9_2,20240220,1
9_3,20240221,1
9_4,20240222,1
9_5,20240223,1
5_6,20240224,1
6_7,20240225,1
9_1,20240226,1
9_2,20240227,1
9_3,20240228,1
9_4,20240229,1
9_5,20240301,1
5_6,20240302,1
6_7,20240303,1
7_1,20240304,1
7_2,20240305,1
8_3,20240306,1
7_4,20240307,1
7_5,20240308,1
5_6,20240309,1
6_7,20240310,1
7_1,20240311,1
7_2,20240312,1
8_3,20240313,1
7_4,20240314,1
7_5,20240315,1
5_6,20240316,1
6_7,20240317,1
7_1,20240318,1
7_2,20240319,1
8_3,20240320,1
7_4,20240321,1
7_5,20240322,1
5_6,20240323,1
6_7,20240324,1
7_1,20240325,1
7_2,20240326,1
8_3,20240327,1
7_4,20240328,1
7_5,20240329,1
5_6,20240330,1
6_7,20240331,1
6_7,20240401,1
7_2,20240402,1
8_3,20240403,1
7_4,20240404,1
7_5,20240405,1
5_6,20240406,1
6_7,20240407,1
7_1,20240408,1
7_2,20240409,1
8_3,20240410,1
7_4,20240411,1
7_5,20240412,1
5_6,20240413,1
6_7,20240414,1
9_1,20240415,1
9_2,20240416,1
9_3,20240417,1
9_4,20240418,1
9_5,20240419,1
5_6,20240420,1
6_7,20240421,1
9_1,20240422,1
9_2,20240423,1
9_3,20240424,1
9_4,20240425,1
9_5,20240426,1
5_6,20240427,1
6_7,20240428,1
7_1,20240429,1
7_2,20240430,1
8_3,20240501,1
7_4,20240502,1
7_5,20240503,1
5_6,20240504,1
6_7,20240505,1
7_1,20240506,1
7_2,20240507,1
6_7,20240508,1
6_7,20240509,1
7_5,20240510,1
5_6,20240511,1
6_7,20240512,1
7_1,20240513,1
7_2,20240514,1
8_3,20240515,1
7_4,20240516,1
7_5,20240517,1
5_6,20240518,1
6_7,20240519,1
7_1,20240520,1
7_2,20240521,1
8_3,20240522,1
7_4,20240523,1
7_5,20240524,1
5_6,20240525,1
6_7,20240526,1
7_1,20240527,1
7_2,20240528,1
8_3,20240529,1
7_4,20240530,1
7_5,20240531,1
5_6,20240601,1
6_7,20240602,1
7_1,20240603,1
7_2,20240604,1
8_3,20240605,1
7_4,20240606,1
7_5,20240607,1
5_6,20240608,1
6_7,20240609,1
7_1,20240610,1
7_2,20240611,1
8_3,20240612,1
7_4,20240613,1
7_5,20240614,1
5_6,20240615,1
6_7,20240616,1
7_1,20240617,1
7_2,20240618,1
8_3,20240619,1
7_4,20240620,1
7_5,20240621,1
5_6,20240622,1
6_7,20240623,1
7_1,20240624,1
7_2,20240625,1
8_3,20240626,1
7_4,20240627,1
7_5,20240628,1
5_6,20240629,1
6_7,20240630,1
7_1,20240701,1
7_2,20240702,1
8_3,20240703,1
7_4,20240704,1
7_5,20240705,1
5_6,20240706,1
6_7,20240707,1
